LSOA21CD,AHAH_Index_Score,AHAH_Index_Rank,AHAH_Index_Percentile
E01000875,32.7684,37955,89
E01000876,37.6885,40186,95
E01000877,38.152,40346,95
E01000878,28.5339,34675,82
E01000879,26.6853,32649,77
E01000880,24.8871,30267,71
E01000881,24.6158,29859,71
E01000882,28.0863,34234,81
E01000883,43.137,41538,98
E01000884,24.2815,29330,69
E01000885,22.9995,27168,64
E01000886,32.1557,37544,89
E01000887,32.4409,37759,89
E01000888,29.9542,35951,85
E01000889,32.432,37748,89
E01000890,36.7961,39893,94
E01000891,35.3444,39269,93
E01000892,27.7261,33871,80
E01000893,26.958,33010,78
E01000894,28.9409,35091,83
E01000895,34.3938,38837,92
E01000896,28.1499,34297,81
E01000897,25.9033,31694,75
E01000898,30.0311,36011,85
E01000899,24.9179,30298,72
E01000900,36.2698,39676,94
E01000901,35.0842,39155,92
E01000902,29.6672,35720,84
E01000903,31.0022,36744,87
E01000904,39.1572,40649,96
E01000905,35.5308,39358,93
E01000906,30.9998,36741,87
E01000907,31.1749,36877,87
E01000908,22.9626,27094,64
E01000909,26.4633,32390,76
E01000910,29.3122,35415,84
E01000911,33.616,38429,91
E01000912,31.4677,37063,87
E01000913,22.6739,26610,63
E01000914,61.4351,42607,100
E01000915,61.3385,42606,100
E01000916,67.6015,42641,100
E01000917,60.0233,42596,100
E01000918,62.9883,42619,100
E01000919,61.7582,42610,100
E01000920,57.8986,42565,100
E01000921,43.8014,41667,98
E01000922,48.0525,42147,99
E01000923,39.5277,40752,96
E01000924,32.9628,38063,90
E01000925,34.9926,39116,92
E01000926,42.5145,41437,98
E01000927,39.8312,40848,96
E01000928,36.6059,39822,94
E01000929,31.5085,37108,88
E01000930,46.2991,41977,99
E01000931,51.4911,42385,100
E01000932,45.4903,41887,99
E01000933,42.4892,41432,98
E01000934,38.875,40574,96
E01000935,34.5577,38904,92
E01000937,45.5022,41890,99
E01000938,54.6206,42502,100
E01000939,46.7212,42025,99
E01000941,45.5612,41898,99
E01000942,58.1473,42568,100
E01000943,54.6,42500,100
E01000944,40.215,40961,97
E01000946,55.0337,42515,100
E01000947,50.3576,42322,100
E01000948,41.9346,41324,97
E01000949,38.4848,40443,95
E01000951,41.3473,41207,97
E01000952,37.5412,40132,95
E01000954,42.2264,41382,98
E01000955,49.5253,42270,100
E01000956,51.7336,42396,100
E01000957,35.641,39418,93
E01000958,37.7157,40194,95
E01000959,39.576,40770,96
E01000960,42.0829,41352,97
E01000961,36.6554,39836,94
E01000962,35.5055,39345,93
E01000963,33.8521,38537,91
E01000964,30.3959,36281,86
E01000965,33.8302,38522,91
E01000966,29.5131,35591,84
E01000967,25.8199,31585,75
E01000968,41.4239,41233,97
